"","neighborhood","dis5mean","dis5sd","count.x","dis5max","dis5min","dismean10","dis10sd","count.y","dis10max","dis10min"
"57","Portage Bay",8948.72475904255,NA,1,8948.72475904255,8948.72475904255,6861.75856797958,6860.08896470903,2,11712.5739944683,2010.94314149083
"58","Rainier View",2849.19075427698,1085.71202579049,5,4217.29701254015,1341.22544409619,4040.89955481216,484.343078315595,4,4741.60627763392,3704.76346160187
"59","Ravenna",1728.84996899306,984.305313888162,22,4842.21384681808,353.250861385722,3015.52019516671,1776.95582701009,15,7339.36472667533,801.531842588677
"60","Riverview",2236.33691388123,1042.64260069723,2,2973.59656718822,1499.07726057425,3880.06698067957,2651.88570166057,4,7764.26233538554,1825.19400140129
"61","Roosevelt",2274.9248410827,1242.70264285144,25,5738.87456769749,488.980575139949,4226.76555798496,2967.89574893127,27,13367.2287881005,675.408516898038
"62","Roxhill",2087.30399105482,588.236642187142,9,3125.69773290062,1498.50489475858,4669.03968391141,958.265197031114,8,5749.10883176802,2950.04307087496
"63","Sand Point",1418.62145840865,1058.39813866558,6,2569.82688810227,184.60958992652,2492.03977566214,1385.25460574197,3,3306.0818312579,892.570857379981
"64","Seaview",790.533620555812,501.152961416709,4,1460.01063983255,395.165422712196,3196.02922459654,767.118315754998,3,3706.58967368088,2313.87857385779
"65","Seward Park",2399.84838589442,760.839734295958,5,3084.41724172357,1090.44122351551,3850.08797158618,1782.6986104699,2,5110.64624786128,2589.52969531108
"66","South Lake Union",2245.98593653142,2547.76691084009,39,11042.8432912942,321.346896573048,3972.17701005808,3381.99458481831,31,10454.4744297468,354.534633416277
"67","Southeast Magnolia",2074.70280507605,956.173996084979,4,3063.86548307933,856.731322714978,2628.19015675782,805.114790176407,3,3485.75954886109,1888.53429984284
"68","Stevens",2003.06279946248,1680.25695357998,27,8593.88090698833,49.9312824667949,3964.56314920334,2471.95667979071,23,8807.83639399263,32.9548485324885
"69","Sunset Hill",1667.95332111154,1184.32615644721,4,2695.73976723929,538.0328484131,3135.68982421165,2361.34328250877,3,4877.02401473,447.948562731365
"70","University District",1556.70029980227,1887.76862572762,39,10246.8148676809,307.550722835358,3466.00177865047,2617.67606532441,37,11900.3596211222,408.784864385142
"71","View Ridge",2270.37524247734,747.958791205512,3,2872.30453986718,1433.03088308352,2975.93259876422,381.694440076552,2,3245.83132568355,2706.03387184489
"72","Wallingford",2473.72322066279,2096.3557809115,31,10650.0872445572,181.544505284665,5494.58605866549,3671.46163103129,24,11952.9559492727,455.895132478141
"73","Wedgwood",1827.35483635879,647.726195251666,5,2565.46168526792,993.216987965019,2710.26022600626,533.159714164732,4,3439.78552796283,2164.66104377164
"74","West Queen Anne",1569.94058919327,1149.30565000327,6,3437.42251457048,311.208964468657,1945.25766006943,1291.31375939845,4,3704.41078074847,623.648691484261
"75","West Woodland",1640.75642183944,877.08044403336,19,4001.01249216317,273.703615670149,3671.62237579409,1345.10730037115,14,6397.99857360069,1970.00835568611
"76","Westlake",2451.92518202395,2464.73395048647,16,8254.71054231692,132.542014562882,4424.71343688902,3648.16796773181,16,14031.6549455434,695.202769942925
"77","Whittier Heights",1317.20428613522,1096.14840778908,2,2092.29825846972,542.110313800721,3143.58475379451,NA,1,3143.58475379451,3143.58475379451
"78","Yesler Terrace",4846.04874364154,3697.34520179988,3,8228.17503775446,898.599583670826,10602.1285452877,NA,1,10602.1285452877,10602.1285452877
