"","olat","olng","lat5","lon5","neighborhood","mode","time_start","dis"
"495",47.68048,-122.34695,47.67602,-122.35854,"Phinney Ridge",6,"5/21/2015 21:33:56.016 ",1000.54935502924
"496",47.66024,-122.36833,47.67052,-122.36626,"West Woodland",6,"5/21/2015 22:03:00.000 ",1154.83874903012
"497",47.60984,-122.2991,47.61531,-122.31551,"Mann",6,"5/21/2015 8:21:24.998 ",1373.80589067464
"498",47.61581,-122.32355,47.61557,-122.31032,"Broadway",6,"5/21/2015 16:44:41.021 ",993.145028380007
"499",47.62848,-122.2954,47.6287,-122.29482,"Stevens",6,"5/21/2015 16:55:01.027 ",49.9312824667949
"500",47.63382,-122.29422,47.63182,-122.2932,"Madison Park",6,"5/21/2015 17:10:02.957 ",235.42057561364
"501",47.62809,-122.29492,47.62148,-122.29273,"Stevens",6,"5/21/2015 17:22:08.976 ",753.944011274264
"502",47.61351,-122.3037,47.62414,-122.29514,"Minor",6,"5/19/2015 13:44:11.990 ",1346.41021659694
"503",47.62469,-122.29422,47.60983,-122.29939,"Harrison/Denny-Blaine",6,"5/19/2015 14:01:03.043 ",1699.08983692493
"504",47.60982,-122.29937,47.64314,-122.30302,"Mann",7,"5/21/2015 10:19:38.957 ",3719.26030664811
"505",47.72427,-122.29264,47.75298,-122.27781,"Cedar Park",6,"5/20/2015 21:07:22.022 ",3383.32948944039
"506",47.72889,-122.29227,47.69814,-122.29065,"Olympic Hills",6,"5/21/2015 18:16:39.043 ",3425.22420486099
"507",47.6687,-122.29293,47.69926,-122.29062,"Ravenna",6,"5/21/2015 21:11:17.981 ",3406.3255773559
"508",47.71474,-122.33739,47.71939,-122.31206,"Haller Lake",7,"5/19/2015 10:42:20.966 ",1966.44025373339
"509",47.61194,-122.32369,47.61688,-122.3304,"First Hill",6,"5/19/2015 18:41:20.976 ",745.624962572509
"510",47.70877,-122.33256,47.74179,-122.32918,"Haller Lake",6,"5/19/2015 19:43:10.042 ",3684.47337861341
