"","olat","olng","lat10","lon10","neighborhood","mode","time_start","dis"
"2980",47.65973,-122.3518,47.57303,-122.33963,"Fremont",6,"5/19/2015 19:09:38.995 ",9694.50919736527
"2982",47.65984,-122.35187,47.6855,-122.35637,"Fremont",6,"5/20/2015 7:33:22.003 ",2876.30558579051
"2983",47.65965,-122.3088,47.66145,-122.33907,"University District",6,"5/20/2015 8:28:54.019 ",2278.35434731393
"2984",47.65976,-122.35177,47.66164,-122.33085,"Fremont",6,"5/21/2015 8:35:05.021 ",1582.39546664269
"2985",47.65681,-122.31269,47.6614,-122.33926,"University District",6,"5/21/2015 8:53:42.000 ",2056.65175306268
"2986",47.65959,-122.35195,47.69088,-122.34445,"Fremont",6,"5/21/2015 18:23:34.973 ",3528.25981404439
"2989",47.60975,-122.3396,47.60493,-122.33445,"Pike-Market",23,"5/19/2015 6:36:06.998 ",661.28242303482
"2993",47.61292,-122.3363,47.67178,-122.32181,"Central Business District",23,"5/19/2015 17:58:46.992 ",6641.78248023666
"2995",47.60892,-122.33883,47.59272,-122.32912,"Pike-Market",23,"5/20/2015 6:35:58.963 ",1945.09301279854
"3002",47.60898,-122.33878,47.59868,-122.32926,"Pike-Market",23,"5/21/2015 6:36:08.035 ",1351.01753630113
"3005",47.61421,-122.33734,47.68786,-122.32768,"Belltown",23,"5/21/2015 18:01:46.963 ",8230.62077237522
"3017",47.69301,-122.35543,47.69185,-122.35555,"Greenwood",1,"5/20/2015 21:35:18.960 ",129.443283932615
"3018",47.69679,-122.35298,47.69028,-122.35623,"Greenwood",6,"5/21/2015 16:54:14.026 ",764.510679946383
"3024",47.7092,-122.32452,47.76198,-122.34774,"Pinehurst",6,"5/21/2015 10:58:42.038 ",6127.23450360767
"3041",47.73364,-122.31116,47.70985,-122.34486,"Olympic Hills",6,"5/20/2015 10:03:40.003 ",3658.23189748545
"3042",47.68138,-122.35522,47.72599,-122.3555,"Phinney Ridge",6,"5/20/2015 10:24:39.974 ",4966.00678471424
"3062",47.72725,-122.3561,47.68549,-122.35525,"Broadview",23,"5/19/2015 6:57:15.005 ",4649.13798750413
"3063",47.61039,-122.33637,47.6033,-122.32927,"Central Business District",23,"5/19/2015 16:34:28.963 ",952.3036510843
"3064",47.72706,-122.3563,47.69486,-122.35551,"Broadview",23,"5/20/2015 6:50:39.984 ",3584.97600115827
"3065",47.7271,-122.35627,47.69643,-122.35541,"Broadview",23,"5/21/2015 6:50:17.002 ",3414.77640797157
"3066",47.72705,-122.35627,47.77661,-122.34612,"Broadview",6,"5/19/2015 9:47:03.034 ",5569.05103506077
"3068",47.72711,-122.35618,47.66785,-122.37632,"Broadview",6,"5/20/2015 9:49:16.003 ",6767.17126431344
"3069",47.65972,-122.40114,47.66578,-122.39696,"Lawton Park",1,"5/20/2015 11:11:46.032 ",743.835476529153
"3070",47.66816,-122.38447,47.66609,-122.39819,"Adams",1,"5/20/2015 15:16:27.034 ",1054.03883669067
